weight,size,moisture,sugar_level,firmness,color_score,quality
158.11,4.59,55.07,6.26,5.6,3.93,0
217.29,7.38,81.56,14.63,7.63,8.8,2
146.78,6.05,72.99,8.62,5.55,7.71,1
208.49,8.93,87.19,13.23,7.35,9.57,2
138.22,6.41,70.02,5.72,6.99,5.76,0
160.72,5.06,64.07,7.49,5.75,5.05,0
170.85,5.38,64.25,6.78,5.34,5.71,0
183.05,6.48,86.27,10.93,6.74,7.69,1
175.21,6.31,81.7,12.52,6.84,8.83,1
204.14,7.01,71.92,12.05,5.89,8.03,1
198.77,6.36,81.14,9.58,6.34,7.15,1
222.17,7.78,88.94,15.25,9.0,8.9,2
219.17,7.71,93.57,13.18,8.53,9.01,2
159.66,7.04,81.16,9.29,5.73,8.59,1
177.73,6.95,74.09,11.06,8.58,6.49,1
113.51,6.26,72.0,5.99,5.89,5.25,0
95.95,5.2,62.21,4.97,2.92,5.91,0
82.27,6.83,72.44,6.44,4.52,4.33,0
170.02,6.46,71.73,9.17,5.1,8.97,1
182.77,7.17,90.86,6.63,7.11,6.85,1
199.32,7.45,86.32,10.46,7.09,8.43,1
150.22,6.06,64.69,8.13,3.11,6.55,0
134.01,5.94,69.61,7.97,5.06,5.59,0
165.09,7.05,73.93,12.25,7.85,6.93,1
127.49,5.97,68.74,5.65,4.01,6.57,0
111.73,5.53,63.96,6.88,4.93,5.92,0
182.45,7.74,84.37,14.41,7.21,9.21,2
213.9,7.95,89.61,10.76,8.26,8.11,2
145.75,5.33,69.32,4.95,5.35,4.27,0
170.51,5.11,69.53,9.23,6.77,5.1,0
179.34,6.47,79.85,10.19,7.44,7.92,1
171.67,7.41,71.8,10.91,7.6,7.87,1
157.99,5.97,60.96,5.39,6.18,4.55,0
169.87,6.75,93.49,9.61,7.01,6.78,1
182.54,7.5,91.28,12.8,7.86,9.61,2
176.49,6.82,66.08,11.12,6.63,7.64,1
173.51,6.92,82.76,10.79,6.31,7.14,1
121.27,6.32,64.02,8.35,6.2,5.1,0
165.5,7.48,61.89,10.59,6.53,5.96,1
191.53,8.1,93.87,13.45,10.58,7.97,2
134.65,5.65,71.0,4.58,3.45,4.43,0
141.02,5.72,57.46,5.71,4.09,7.39,0
167.22,7.44,72.15,8.92,9.28,6.47,1
168.15,6.17,77.16,10.9,5.29,7.95,1
155.27,5.77,58.13,8.89,3.59,4.85,0
189.3,7.29,75.48,9.77,5.73,6.4,1
176.85,6.65,81.17,9.42,4.57,7.18,1
196.98,6.87,77.52,9.5,6.19,6.06,1
194.1,6.58,86.77,9.45,5.66,7.85,1
178.17,9.3,94.98,14.58,7.9,8.93,2
145.98,5.88,64.07,7.34,5.21,3.45,0
116.1,6.18,73.85,8.04,4.78,4.51,0
193.57,8.15,91.38,14.41,9.71,8.67,2
234.34,8.85,87.84,16.74,8.57,8.77,2
139.08,5.52,64.23,8.04,5.67,5.23,0
164.33,5.61,65.79,4.16,4.05,4.46,0
142.53,6.5,70.25,4.75,5.55,4.5,0
217.39,8.41,87.42,14.11,8.51,8.41,2
128.76,4.99,65.69,6.5,5.46,5.96,0
167.42,7.11,82.74,9.54,5.26,8.32,1
158.41,6.52,79.22,9.29,7.11,6.52,1
186.17,7.58,91.51,14.03,8.95,9.23,2
182.95,8.3,84.47,13.64,9.43,9.56,2
116.28,6.77,57.89,6.1,4.87,6.08,0
130.95,5.47,67.84,7.66,3.41,6.91,0
146.48,6.05,57.99,6.19,3.71,4.88,0
178.59,7.27,86.7,13.82,9.31,8.73,2
116.99,5.46,69.57,7.27,4.85,5.99,0
132.69,7.64,73.68,9.81,5.59,7.86,1
100.14,5.42,62.61,7.15,4.98,7.0,0
213.16,7.29,95.39,14.99,8.4,9.44,2
139.62,6.51,69.83,9.36,7.0,6.59,1
140.83,5.23,67.43,2.51,4.31,3.87,0
128.09,5.93,76.98,11.66,5.11,5.32,0
124.06,5.73,71.79,7.31,4.81,4.4,0
159.71,6.56,80.65,9.0,6.54,7.05,1
117.08,6.13,71.29,6.65,4.54,4.05,0
131.6,6.26,66.36,9.27,3.05,5.49,0
174.28,7.67,89.76,12.72,7.66,9.51,2
173.28,7.67,66.77,10.29,8.42,7.02,1
222.39,8.07,85.18,12.23,9.03,8.57,2
172.15,7.46,84.57,12.68,8.95,8.94,2
133.12,6.0,63.31,7.27,4.96,5.69,0
165.12,6.47,60.5,8.24,5.31,4.35,0
189.07,7.62,91.81,13.05,8.87,8.92,2
204.87,7.3,86.14,11.85,8.14,8.76,2
180.44,6.53,87.34,10.05,5.7,6.38,1
189.15,6.89,85.94,14.85,9.5,9.71,2
147.26,5.22,70.77,7.3,4.97,4.85,0
179.39,7.43,87.22,14.5,8.65,9.96,2
167.41,6.42,68.05,6.26,5.31,4.53,0
209.49,8.48,90.65,12.27,7.67,9.49,2
232.45,7.87,94.17,15.5,9.12,9.04,2
185.17,7.62,76.89,10.1,6.69,9.21,1
156.37,7.09,69.9,7.49,4.69,5.15,0
143.94,6.84,72.9,8.72,3.11,6.26,0
137.89,6.91,65.2,5.91,4.87,5.81,0
147.54,6.22,82.28,10.4,7.81,7.29,1
139.0,6.44,62.24,5.98,3.73,6.33,0
241.4,8.13,88.82,14.11,9.63,8.48,2
120.96,6.47,61.02,8.34,5.39,7.33,0
201.54,8.55,86.91,10.7,8.45,8.95,2
139.75,6.44,70.66,7.43,2.85,4.54,0
174.63,6.94,72.11,9.67,7.11,6.06,1
225.53,7.38,86.87,12.54,9.73,8.15,2
161.19,6.5,75.76,8.18,4.29,7.12,1
216.53,6.94,86.57,11.66,9.44,8.65,2
129.11,5.69,69.48,6.2,5.01,7.44,0
164.75,6.62,91.19,10.45,6.11,5.54,1
238.04,8.3,82.62,11.89,7.66,9.41,2
203.82,8.37,92.63,13.24,7.91,9.57,2
185.3,7.0,82.66,10.59,6.19,6.66,1
222.5,9.09,90.0,10.51,8.21,9.07,2
176.46,6.78,89.94,11.78,7.22,7.39,1
208.62,8.46,85.21,16.3,7.96,9.05,2
169.4,8.02,88.7,12.57,7.2,9.38,2
151.15,6.44,70.26,5.29,4.3,5.49,0
125.56,6.48,69.12,7.06,3.06,4.18,0
96.27,5.44,65.94,5.52,4.37,5.58,0
116.65,5.9,74.31,7.67,5.46,5.26,0
99.39,5.82,76.49,5.58,3.67,6.26,0
233.38,8.13,85.14,15.27,8.26,8.26,2
238.6,8.05,86.05,13.48,8.55,8.56,2
163.45,5.29,62.95,5.11,4.27,5.97,0
167.48,5.7,70.6,5.06,3.54,5.97,0
190.42,7.46,85.18,13.11,7.31,9.05,2
237.48,8.75,99.46,12.15,10.76,8.79,2
190.33,6.35,75.74,8.47,5.68,6.27,1
117.58,5.64,63.93,5.94,5.48,4.13,0
127.59,6.38,57.65,6.42,4.69,5.95,0
200.92,7.04,91.71,12.92,8.65,8.38,2
165.32,7.13,72.65,12.58,5.6,7.48,1
165.66,7.23,78.15,10.77,5.52,6.18,1
115.35,5.61,70.48,8.27,4.21,5.43,0
136.3,5.69,62.24,7.12,4.76,4.26,0
206.87,8.47,85.18,11.48,8.52,8.76,2
171.83,6.84,77.35,11.69,5.62,6.66,1
126.09,5.55,72.75,7.44,5.77,5.79,0
228.49,8.2,87.52,15.77,8.33,8.98,2
151.21,6.03,72.92,5.23,6.17,7.02,0
188.12,6.98,79.71,9.59,5.28,6.4,1
130.39,5.68,66.69,7.72,5.37,4.85,0
86.34,6.14,63.73,4.25,5.01,6.87,0
176.55,7.55,79.49,13.55,8.72,9.95,2
150.78,6.66,80.53,10.79,4.6,7.2,1
185.98,6.78,81.97,12.02,7.56,7.68,1
163.96,6.21,72.45,6.31,4.35,4.07,0
215.89,7.38,94.61,16.62,8.47,8.7,2
219.03,7.79,89.26,13.82,9.4,9.41,2
156.42,6.58,84.44,10.02,5.26,8.3,1
178.37,6.78,74.36,9.72,6.68,6.65,1
202.73,8.21,78.44,11.97,9.28,8.85,2
213.74,7.13,95.39,15.29,8.34,8.76,2
143.61,6.88,79.41,12.23,5.23,8.22,1
152.56,6.26,60.77,7.08,3.79,4.24,0
190.71,7.17,76.45,10.61,6.46,6.62,1
147.71,5.68,61.87,8.85,3.54,7.13,0
179.76,6.78,81.73,10.14,6.34,6.6,1
169.62,5.41,58.55,6.29,2.52,6.25,0
206.1,6.57,71.57,9.24,6.71,7.35,1
158.48,7.67,74.82,9.94,7.06,6.83,1
128.01,5.65,70.17,5.95,6.18,3.59,0
170.07,6.31,63.73,7.04,4.45,3.92,0
189.77,7.85,81.25,14.75,9.2,9.2,2
173.53,7.3,81.74,10.45,6.95,7.22,1
120.27,6.57,69.5,4.9,4.87,3.4,0
171.15,7.29,80.09,10.33,5.23,7.0,1
156.47,5.17,70.66,7.89,4.36,5.84,0
167.56,6.82,85.31,9.56,7.57,8.44,1
139.57,6.03,72.43,7.15,4.81,5.11,0
202.15,8.32,83.73,14.02,8.19,8.54,2
148.4,6.93,87.46,8.67,5.73,6.6,1
233.25,7.95,89.17,13.82,8.89,9.03,2
132.49,6.17,57.45,8.98,4.57,5.09,0
135.61,5.86,66.1,7.59,5.19,6.23,0
220.2,7.48,79.37,12.94,9.28,8.77,2
124.07,5.6,63.57,4.85,4.65,6.09,0
220.28,8.5,89.88,13.66,7.71,9.31,2
139.34,5.22,68.93,6.69,6.26,7.07,0
192.22,7.73,87.2,13.78,8.77,9.34,2
202.65,7.1,74.44,10.18,6.74,6.55,1
214.21,6.9,77.26,11.45,6.75,7.62,1
182.01,5.69,72.01,11.33,6.79,7.18,1
119.91,5.36,69.67,8.84,3.86,5.96,0
124.23,5.32,66.66,7.55,6.59,3.99,0
152.11,6.66,66.48,6.75,4.57,6.66,0
133.41,5.61,65.71,9.4,5.06,5.2,0
218.72,7.93,89.52,15.51,8.71,8.61,2
216.83,7.64,88.23,11.66,8.24,9.83,2
227.56,7.8,82.34,14.97,8.28,8.17,2
151.04,5.8,70.09,9.46,4.88,5.81,0
172.26,7.33,73.53,9.42,6.32,4.98,1
199.23,7.37,90.45,13.45,9.16,8.46,2
217.13,7.88,84.61,14.41,7.9,8.94,2
158.7,8.07,96.22,13.72,7.37,8.61,2
194.46,8.82,96.02,13.35,8.26,8.58,2
224.71,7.34,89.23,13.42,9.0,8.87,2
219.61,8.55,86.44,15.72,7.97,9.8,2
186.02,8.12,91.2,13.51,8.05,9.6,2
161.03,6.84,74.79,10.99,7.53,7.78,1
198.65,8.62,84.88,14.6,8.05,8.72,2
200.76,6.67,73.6,10.4,6.28,6.36,1
135.38,5.92,60.7,6.08,4.12,5.18,0
194.87,6.67,76.82,9.39,5.97,7.54,1
178.79,6.56,85.96,10.03,5.31,7.26,1
208.77,7.1,87.7,15.75,8.01,8.86,2
236.19,6.98,95.74,13.7,8.42,8.88,2
203.89,8.28,90.59,12.47,7.44,8.83,2
179.61,7.4,74.14,9.25,5.99,6.66,1
206.9,8.52,88.66,13.52,9.81,8.14,2
152.56,6.06,71.89,7.78,3.4,5.17,0
225.43,8.56,76.79,14.15,7.36,9.3,2
163.18,6.67,70.45,9.67,6.31,7.73,1
220.39,7.71,88.62,12.9,8.59,9.09,2
216.2,5.92,81.91,8.63,6.48,7.1,1
143.36,5.52,68.58,5.67,4.68,6.8,0
174.69,7.05,78.42,8.93,4.68,6.74,1
161.33,7.13,83.3,9.17,7.54,7.91,1
202.17,7.64,82.68,12.39,8.92,9.0,2
204.81,7.88,88.63,13.79,8.48,9.31,2
151.4,5.85,73.32,5.73,5.04,5.7,0
146.52,6.83,80.4,11.09,5.81,6.77,1
227.97,7.16,89.85,12.09,6.74,7.54,1
200.41,7.39,91.82,11.7,7.78,8.34,2
221.49,8.65,89.33,14.47,8.24,8.18,2
161.2,6.83,83.14,10.75,6.75,7.36,1
133.55,5.38,71.58,6.18,4.38,4.86,0
206.9,8.16,93.11,14.36,8.58,9.9,2
148.63,6.47,73.01,7.37,6.59,8.74,1
136.32,5.72,72.96,6.87,3.38,5.11,0
106.72,5.24,61.03,7.21,6.23,7.73,0
129.96,5.32,69.53,5.91,6.67,6.69,0
240.34,7.48,86.09,14.27,9.8,8.69,2
194.61,7.98,70.81,9.66,4.12,7.45,1
220.9,7.83,90.28,12.28,8.96,9.6,2
228.32,7.15,87.29,14.63,8.01,8.5,2
211.53,8.14,89.25,13.6,8.29,9.05,2
140.8,5.79,62.93,8.23,4.73,5.52,0
205.57,8.02,90.35,13.51,8.93,8.51,2
196.48,8.56,88.52,14.83,10.14,8.58,2
187.34,7.3,85.11,14.05,7.86,10.05,2
214.28,7.19,84.25,12.68,8.27,9.63,2
183.23,7.85,77.31,10.89,6.39,8.85,1
151.78,5.68,72.68,5.34,3.68,4.89,0
194.66,6.53,71.32,11.09,7.79,9.37,1
170.77,5.53,65.32,7.51,6.05,6.35,0
229.12,7.64,88.06,14.87,9.79,9.44,2
120.2,6.36,67.0,6.99,4.17,5.66,0
219.47,7.92,83.23,12.91,8.2,7.93,2
164.67,7.07,83.17,9.39,7.41,7.4,1
192.22,8.17,90.14,15.31,7.08,9.64,2
123.31,6.46,74.1,6.1,2.63,6.51,0
198.89,8.4,92.83,13.9,7.78,8.75,2
161.39,6.98,76.92,8.59,7.83,8.04,1
158.63,7.18,74.92,7.98,5.89,7.27,1
150.63,7.17,67.61,9.65,8.65,6.06,1
200.71,8.01,90.63,13.85,9.3,9.35,2
194.44,8.59,85.0,10.26,8.87,8.34,2
182.89,6.11,83.33,9.61,7.77,7.69,1
125.56,6.05,73.48,5.34,4.13,5.35,0
188.16,6.47,67.55,9.74,6.23,6.98,1
189.69,8.44,81.76,16.68,8.17,9.09,2
210.11,6.88,79.82,12.63,9.34,9.47,2
135.81,5.83,64.49,4.94,4.82,5.44,0
123.8,6.09,69.48,8.6,3.3,3.18,0
229.92,7.68,82.65,14.42,8.96,9.04,2
202.73,7.8,88.47,10.99,10.67,9.31,2
180.31,6.68,75.95,12.73,7.68,7.41,1
125.43,5.02,68.73,10.77,2.66,5.47,0
154.27,6.44,66.45,6.42,4.44,5.84,0
216.15,7.15,77.92,13.72,8.33,8.41,2
131.39,5.92,72.73,5.83,6.06,3.97,0
165.68,6.91,80.38,7.38,5.96,7.1,1
226.58,7.56,86.27,16.78,8.3,9.44,2
169.23,5.91,73.3,10.71,8.22,7.22,1
183.11,6.67,80.78,7.14,6.07,8.68,1
164.42,6.92,72.33,10.52,5.6,8.15,1
99.59,5.24,66.07,7.46,4.44,6.72,0
217.54,7.79,86.67,14.83,9.2,8.43,2
177.57,5.94,76.65,9.96,8.45,7.85,1
216.93,8.2,92.48,15.85,8.45,9.72,2
194.58,7.15,79.37,8.5,6.5,6.87,1
173.93,5.95,73.95,10.28,5.71,7.46,1
158.75,7.2,78.58,8.07,7.38,6.15,1
211.86,7.66,78.58,15.86,9.37,9.27,2
123.88,5.64,70.08,8.81,4.36,5.05,0
220.78,7.89,84.13,11.43,9.12,9.9,2
133.01,5.35,71.21,6.45,1.59,5.13,0
119.49,5.82,56.24,8.31,2.94,7.0,0
200.43,9.12,86.28,16.02,7.49,8.41,2
137.02,7.47,74.57,11.75,7.57,6.27,1
230.35,7.82,94.16,12.71,8.15,9.49,2
169.12,6.21,79.01,7.66,6.54,6.16,1
187.1,6.99,73.03,10.37,5.32,7.1,1
194.38,7.69,81.87,11.81,9.28,9.52,2
85.54,5.55,64.37,9.08,4.11,5.88,0
135.26,5.32,64.96,8.03,4.61,6.08,0
165.04,6.67,74.23,10.57,7.62,5.91,1
187.77,6.81,77.31,9.36,6.19,8.14,1
123.56,5.21,63.88,6.72,3.9,3.29,0
193.53,7.2,78.08,8.54,7.15,7.32,1
189.45,7.83,81.5,13.62,8.17,9.9,2
209.78,7.31,82.01,14.59,9.05,9.95,2
211.94,8.3,90.57,16.62,10.27,9.05,2
166.76,7.04,72.68,11.53,5.44,6.46,1
139.17,6.12,65.92,5.69,5.38,6.22,0
189.76,6.7,79.49,12.5,4.38,7.63,1
113.09,5.88,62.54,7.77,4.53,3.53,0
181.75,7.48,88.83,13.14,9.68,8.11,2
118.31,5.92,71.88,7.75,4.69,6.5,0
173.63,5.96,78.95,9.95,6.65,6.88,1
142.09,4.84,65.61,8.27,4.45,4.09,0
213.92,7.39,90.81,13.38,8.28,8.78,2
223.79,6.77,73.61,7.89,6.28,7.2,1
142.53,6.97,79.82,8.98,5.22,8.48,1
197.55,6.41,79.36,10.63,7.69,6.65,1
187.36,7.17,73.62,10.99,6.11,5.64,1
153.4,7.15,75.95,11.18,5.03,6.29,1
143.45,5.03,70.78,7.92,3.48,5.26,0
152.5,6.67,78.17,10.4,5.39,8.26,1
199.74,6.98,83.94,8.55,6.09,6.72,1
232.15,8.06,89.78,10.92,7.92,9.25,2
178.17,7.65,89.85,13.0,8.28,8.27,2
198.66,7.43,82.21,12.8,9.37,8.98,2
178.51,7.07,75.11,9.88,6.44,7.96,1
126.43,6.24,68.31,7.29,5.35,5.36,0
176.93,6.64,81.13,9.88,6.71,6.0,1
157.78,5.37,71.85,7.64,3.85,7.28,0
194.95,7.25,99.07,13.12,6.96,9.9,2
135.46,4.84,66.93,5.97,4.01,6.94,0
227.79,7.61,90.41,15.6,7.53,8.66,2
234.34,6.62,96.21,10.94,8.0,8.98,2
173.02,6.71,74.14,12.5,6.12,7.86,1
183.22,7.24,89.56,11.74,9.39,8.96,2
180.94,6.39,76.17,10.76,7.02,8.37,1
210.4,7.31,90.51,13.43,7.71,10.34,2
239.1,7.47,86.73,12.69,8.43,8.65,2
198.1,7.7,87.69,14.32,9.71,9.67,2
138.55,5.96,75.5,8.61,4.69,6.44,0
209.67,7.95,89.94,13.05,10.52,8.86,2
209.47,8.0,88.13,15.52,9.12,9.0,2
212.6,6.88,84.67,12.48,7.86,9.12,2
194.02,7.28,81.6,12.73,6.42,7.82,1
147.88,6.3,72.09,11.49,5.8,7.4,1
126.76,5.72,65.15,4.98,3.79,6.02,0
195.78,8.15,86.87,15.29,9.32,9.13,2
208.21,7.66,80.18,13.03,9.2,9.32,2
142.59,5.93,65.3,7.56,4.38,5.96,0
186.37,8.0,84.79,12.74,7.86,8.56,2
188.52,7.13,82.86,9.98,5.9,6.05,1
158.79,7.51,73.42,10.19,6.0,8.24,1
237.67,8.51,78.05,12.81,9.83,8.71,2
149.94,7.65,77.42,9.48,7.39,6.4,1
217.71,8.0,88.08,14.84,7.96,9.2,2
169.07,7.64,76.63,6.7,4.5,7.33,1
107.65,4.38,64.74,7.83,5.7,5.04,0
251.5,7.29,91.29,11.53,8.63,9.59,2
223.75,8.0,86.29,13.31,8.38,9.3,2
174.7,7.14,80.95,9.67,6.56,7.0,1
170.94,6.95,75.21,9.53,6.16,6.8,1
122.78,5.64,63.09,6.61,6.1,6.3,0
216.46,7.28,95.39,11.54,8.72,9.94,2
220.17,8.14,84.48,12.27,8.32,9.17,2
147.28,5.86,65.89,10.07,3.83,5.1,0
218.94,7.02,78.46,10.71,9.03,6.51,1
144.68,6.01,65.6,5.08,5.02,4.67,0
97.64,5.76,66.25,6.51,3.46,4.33,0
112.78,5.5,66.87,7.42,3.69,5.92,0
217.34,8.09,79.76,14.7,9.2,8.81,2
190.4,8.08,90.25,13.29,9.12,8.3,2
143.4,6.47,69.61,6.85,6.77,6.39,0
169.44,5.75,78.69,7.17,6.55,7.99,1
150.88,5.57,64.65,7.4,4.06,5.43,0
163.17,6.45,74.73,9.42,5.86,7.47,1
168.82,5.76,82.87,10.45,5.73,8.82,1
158.07,6.08,61.44,7.37,5.0,6.64,0
198.46,7.67,84.39,17.55,8.69,8.49,2
168.81,6.61,73.1,7.06,5.83,7.45,1
172.7,7.7,85.75,12.45,8.81,9.67,2
116.31,4.98,60.81,7.16,5.83,5.81,0
180.9,7.28,73.95,10.55,5.76,7.99,1
160.19,5.13,60.17,6.78,5.0,7.3,0
156.17,7.04,79.45,11.44,5.71,7.33,1
171.33,8.36,77.94,8.32,6.44,7.26,1
190.24,7.62,93.74,10.76,6.85,9.05,2
164.48,8.03,87.92,10.02,6.89,8.39,1
127.8,5.93,66.78,7.27,3.83,6.67,0
118.51,6.48,72.85,7.2,4.58,6.05,0
187.01,7.26,88.93,16.68,7.83,8.84,2
197.4,7.92,71.4,11.16,6.5,6.06,1
146.99,6.01,71.19,6.07,3.94,4.4,0
144.05,4.55,62.17,9.44,3.92,4.33,0
113.73,6.02,77.43,5.48,4.14,5.92,0
135.79,6.54,75.19,10.72,3.88,9.34,1
197.54,6.88,81.22,10.12,4.75,6.61,1
203.94,7.48,84.73,12.17,6.79,7.33,1
157.96,5.72,69.67,8.26,5.72,6.56,0
140.05,6.68,68.86,7.58,4.45,6.72,0
198.6,7.23,79.53,9.65,5.31,8.85,1
208.98,7.35,85.74,12.61,9.02,9.15,2
139.59,6.79,79.47,10.37,6.17,7.4,1
166.3,5.64,76.16,8.22,4.98,5.87,0
199.79,8.7,96.09,16.25,8.35,7.93,2
138.73,5.83,63.39,7.27,3.95,5.23,0
211.42,7.66,88.73,12.01,8.58,9.09,2
125.07,6.71,86.63,10.18,7.25,7.38,1
156.35,6.7,77.82,10.99,7.59,6.7,1
189.82,8.49,96.15,13.72,8.91,9.12,2
216.38,8.25,86.45,14.57,7.95,8.15,2
136.93,5.99,68.62,8.93,5.79,6.04,0
193.13,7.06,78.13,9.54,6.42,4.76,1
126.62,5.72,66.63,6.32,4.7,4.74,0
152.6,7.02,74.46,9.19,5.78,6.4,1
181.58,6.78,74.73,6.93,6.87,8.46,1
228.54,7.61,86.38,15.2,9.78,9.39,2
222.23,7.44,79.54,12.86,8.55,8.83,2
233.14,7.77,88.57,14.21,9.44,8.01,2
127.33,6.37,67.57,4.84,5.42,4.83,0
166.49,6.49,60.54,8.03,4.0,5.76,0
148.38,7.64,74.31,8.75,4.23,7.02,1
145.86,5.95,70.19,8.59,4.87,5.65,0
129.88,6.6,70.39,6.79,3.98,5.16,0
149.84,7.4,78.9,11.26,6.4,6.63,1
154.81,6.33,69.66,7.54,6.26,5.5,0
205.68,6.25,82.88,12.1,5.87,7.08,1
172.76,6.69,81.73,10.49,8.78,6.62,1
199.58,7.35,86.21,13.85,8.98,9.51,2
230.38,7.48,71.78,10.35,5.89,6.49,1
215.96,8.17,90.44,13.0,8.76,9.29,2
107.68,5.62,71.45,7.86,5.0,5.55,0
204.27,8.1,84.38,13.71,8.75,8.11,2
159.78,5.96,70.44,9.2,3.39,5.46,0
149.68,5.78,66.08,6.46,5.68,4.87,0
168.88,6.92,81.93,9.16,3.67,8.39,1
141.31,5.38,67.51,6.28,2.72,3.27,0
183.05,6.55,75.76,10.36,5.21,7.19,1
114.9,6.42,66.22,6.18,4.66,6.0,0
174.85,6.88,76.61,11.94,6.92,8.35,1
184.42,6.19,67.91,5.75,7.31,7.4,1
182.14,7.9,88.77,16.01,7.25,8.64,2
152.75,5.44,59.29,6.76,4.02,4.53,0
202.7,7.59,76.59,11.85,5.55,6.57,1
196.05,7.53,95.58,13.27,8.66,8.96,2
185.38,6.05,78.92,10.68,8.21,6.68,1
166.14,7.46,73.14,10.61,6.33,7.81,1
188.08,6.42,60.24,5.02,4.98,6.05,0
203.96,7.22,83.74,10.97,8.41,9.96,2
244.62,7.32,92.31,13.37,8.4,8.08,2
161.78,6.73,85.99,11.1,6.51,7.11,1
153.53,6.24,61.28,8.23,4.44,5.57,0
180.66,6.62,81.65,8.6,6.54,7.85,1
214.05,8.1,93.64,13.04,8.04,9.52,2
213.93,8.28,85.13,14.69,9.02,9.17,2
202.89,7.95,93.7,15.62,8.48,9.08,2
182.2,6.9,72.85,10.07,5.43,7.36,1
197.03,6.7,76.17,7.49,8.54,7.68,1
121.64,5.56,73.15,9.53,5.06,4.62,0
197.67,8.2,91.06,15.11,8.9,7.83,2
193.95,7.83,85.4,13.01,10.1,8.82,2
177.28,5.44,64.92,6.91,4.9,5.76,0
191.44,7.54,95.08,14.86,9.01,9.21,2
168.12,5.81,75.15,8.23,6.53,6.35,1
128.63,5.51,67.51,9.32,3.26,4.03,0
168.97,6.13,81.72,9.69,6.53,8.59,1
208.74,7.66,89.74,12.39,8.22,9.07,2
112.38,6.21,65.61,6.58,5.29,5.84,0
107.32,5.73,64.77,7.17,4.14,3.49,0
125.68,5.76,77.85,4.86,2.65,6.28,0
204.56,8.07,84.26,11.89,7.6,10.23,2
159.65,5.26,73.28,8.42,3.6,4.37,0
170.94,7.49,81.19,12.42,5.11,7.27,1
242.17,7.58,93.98,15.42,7.7,9.62,2
212.13,8.0,88.55,15.28,8.78,8.96,2
225.06,7.27,85.0,14.69,7.32,9.63,2
101.85,6.25,64.05,8.05,4.53,3.96,0
160.26,6.15,64.78,6.28,4.8,5.96,0
142.73,5.99,64.22,6.8,6.17,4.56,0
181.79,8.0,95.81,12.01,7.89,8.57,2
222.87,7.6,81.65,13.19,9.0,10.08,2
201.76,8.32,91.09,12.76,8.4,8.67,2
208.87,7.58,90.63,12.91,9.77,9.88,2
207.36,8.3,83.77,13.89,8.04,9.18,2
176.11,6.34,77.05,7.75,7.86,7.06,1
165.89,6.71,82.47,8.85,6.24,7.59,1
177.04,6.89,82.6,11.53,5.91,6.81,1
219.86,6.66,76.41,10.17,7.57,6.09,1
200.82,6.94,68.18,10.69,7.55,7.24,1
107.12,5.93,72.52,7.71,4.5,4.91,0
159.78,6.79,77.69,10.36,6.58,7.94,1
187.01,8.38,93.08,11.63,9.59,8.91,2
125.85,5.73,64.73,9.18,4.83,5.8,0
216.94,7.4,93.68,13.94,9.08,9.84,2
201.8,7.62,96.66,15.08,9.32,9.7,2
176.38,6.54,67.48,13.06,6.66,7.62,1
163.64,6.65,81.85,9.21,6.49,7.62,1
